episode,mean_reward
1901,-169.72
1902,-168.99
1903,-168.07
1904,-167.85
1905,-167.95
1906,-167.35
1907,-166.63
1908,-166.32
1909,-166.07
1910,-165.95
1911,-166.11
1912,-165.95
1913,-165.19
1914,-164.61
1915,-164.57
1916,-164.7
1917,-164.51
1918,-165.25
1919,-162.83
1920,-161.5
1921,-161.87
1922,-162.27
1923,-162.58
1924,-162.43
1925,-161.16
1926,-161.61
1927,-160.74
1928,-162.45
1929,-162.17
1930,-161.31
1931,-161.48
1932,-161.24
1933,-161.26
1934,-161.17
1935,-162.28
1936,-161.89
1937,-162.1
1938,-162.92
1939,-161.74
1940,-162.04
1941,-162.09
1942,-162.12
1943,-162.5
1944,-161.33
1945,-159.86
1946,-159.45
1947,-158.71
1948,-157.98
1949,-157.88
1950,-157.8
1951,-157.7
1952,-156.81
1953,-157.22
